TAXON	12S.5June	ALDOB_Hackettetal2008	CLTC_Hackettetal2008	CMOS.26May	COI.26May	COII.Cl181.Final_18May2011	CRYAA_Hackettetal2008	CytB.Cl1.Final_18May2011	EEF2_Hackettetal2008	EGR1_Hackettetal2008	EGR1exon_Hackettetal2008	FGBint4_Hackettetal2008	FGBint5_Hackettetal2008	FGBint67_ALL	GH1_Hackettetal2008	HMGN2_Hackettetal2008	IRF2_Hackettetal2008	MB_Hackettetal2008	MUSK_Hackettetal2008	MYC_Hackettetal2008	ND2.Cl6.Final_18May2011	ND3.26May	ND4.26May	NGF_Hackettetal2008	NTF3_Hackettetal2008	ODC_Ericson_etal	PCBD1_Hackettetal2008	RAG1.Final_18May2011	RAG2.26May	RHO_Hackettetal2008	TGFB2_Hackettetal2008	TPM1_Hackettetal2008	
Phasianidae_Lagopus_lagopus	8886849				116877083			146743220													7648880			298679629									
Sylviidae_Parisoma_subcaeruleum	19481525																				19481476												
Aegothelidae_Aegotheles_bennettii								1261860												256860223													
Vireonidae_Vireo_altiloquus					116878099	7140801																											
Tyrannidae_Onychorhynchus_coronatus								83031352					83031571								83031440	83031264						241994249	241994609				
Phasianidae_Tragopan_satyra								22725644																									
Timaliidae_Yuhina_castaniceps	113171354							72388752													220900643	113171313									220900507		
Gruidae_Grus_canadensis	2547292	193879474	193880088		51102074		193879168	896420	193880708	193881022	193881332	193999516	193999862	194000267	154529143		193881770	194020968	193882004	194241056	187480090	3978325		194021291	194205212		193880388	4973153		194240742	193878568	193878877	
Tyrannidae_Inezia_subflava																												241994151	241994511				
Fringillidae_Anisognathus_igniventris								194499745													194499833												
Cuculidae_Phaenicophaeus_superciliosus								3834536													3834474												
Phasianidae_Coturnix_japonica			299758040	82581116	224993553			5257459						63086745	89242405	63086857	90265560													63112640	89242412		
Ramphastidae_Capito_niger		193879396	193880028		60281075		193879090	62546637	193880628	193880939	193881246	193999440	193999783	194000182		323903207	193881727		193881924	194240974				194021209	194205128		193880306			194240664	193878482		
