TAXON	12S.5June	ALDOB_Hackettetal2008	CLTC_Hackettetal2008	CMOS.26May	COI.26May	COII.Cl181.Final_18May2011	CRYAA_Hackettetal2008	CytB.Cl1.Final_18May2011	EEF2_Hackettetal2008	EGR1_Hackettetal2008	EGR1exon_Hackettetal2008	FGBint4_Hackettetal2008	FGBint5_Hackettetal2008	FGBint67_ALL	GH1_Hackettetal2008	HMGN2_Hackettetal2008	IRF2_Hackettetal2008	MB_Hackettetal2008	MUSK_Hackettetal2008	MYC_Hackettetal2008	ND2.Cl6.Final_18May2011	ND3.26May	ND4.26May	NGF_Hackettetal2008	NTF3_Hackettetal2008	ODC_Ericson_etal	PCBD1_Hackettetal2008	RAG1.Final_18May2011	RAG2.26May	RHO_Hackettetal2008	TGFB2_Hackettetal2008	TPM1_Hackettetal2008	
Tyrannidae_Contopus_sordidulus					116876751			18251263										165909193			18251317	18251371				165874076							
Certhiidae_Certhia_brachydactyla	124108867				257154109			75858215		187471226	188526236										315632452												
Turdidae_Tarsiger_chrysaeus								82796727										306959790								306960033							
Muscicapidae_Cossypha_cyanocampter								32442099					34333767													306959847							
Pteroclidae_Syrrhaptes_paradoxus		193879614	193880210		257156517		193879296		193880848	193881154	193881480	193999642	193999996	194000407	154529283		193881839	194021111	193882134	194241204				194021437	194205356		193880532			194240880	193878715	193878992	
Fringillidae_Passerina_leclancherii								15420058													156072622												
Psittacidae_Psittacula_derbiana	1870733			1857848				33340941																									
Meliphagidae_Plectorhyncha_lanceolata	45385371							45385637					259018614								45385487												
Accipitridae_Aquila_heliaca					112383533			56709383						66736031							66734944							56709244					
Jacanidae_Microparra_capensis	190411524							125662308													125662524							125662408					
Ardeidae_Bubulcus_ibis					116876429			94983628						56131165																			
Corvidae_Oriolus_xanthonotus																					308097318	308097260						38324433	38324913				
Cuculidae_Chrysococcyx_klaas								7739491													7739549												
Strigidae_Ninox_strenua								170787115																				171919931					
Picidae_Picoides_pubescens					15216877			94421657		29422317	29422259			15049243							99030700												
Scolopacidae_Tringa_stagnatilis	62720737			62720817	257156623	62720977		62720885													62720783												
Timaliidae_Pteruthius_xanthochlorus	30840861							149207922																				82471261	82471265				
Fringillidae_Eophona_migratoria					224177989			45685528						46325841																			
Fringillidae_Tiaris_olivaceus					156142781	156142497							156143723								156142687												
Pycnonotidae_Iole_olivacea													293652557	89213083				293652666			89213157	89212985				294717946					264669177		
Pardalotidae_Acanthiza_murina								7229360																									
Phasianidae_Francolinus_africanus	8886847							4090604													7648876												
Furnariidae_Asthenes_patagonica					197254627																												
Pardalotidae_Sericornis_nouhuysi					290464598																294471162												
Fringillidae_Basileuterus_rubifrons				22085550		22085372		22085474													22085706												
Trochilidae_Eriocnemis_mosquera														164613042							164613207		164613376			268320669							
Cisticolidae_Cisticola_juncidis					327555264			117307437										66876351															
Sturnidae_Sturnus_sinensis																		93211356			189035586					189035500		93211286					
Aegithalidae_Aegithalos_sharpei								295849446																									
Petroicidae_Eopsaltria_georgiana																					260176880												
Accipitridae_Buteogallus_anthracinus					116831943	281307625		67038124					281308174	66736081							66735030							126212425					
Certhiidae_Polioptila_plumbea																					224998860												
Accipitridae_Melierax_gabar								67038080						66736049							66734984												
Hirundinidae_Cecropis_daurica					226910535			61189696													60858312												
Sturnidae_Oreoscoptes_montanus					151336346	74272111		6448808					149729151	151336151							149729354							34582558		151336830	151336038		
Fringillidae_Serinus_serinus	21644764			195963930	292390498	21645043		17467189													21644857	198246496									195964013		
Tyrannidae_Phylloscartes_oustaleti																												241994277	241994637				
Paridae_Parus_bicolor														62126085							60858230												
Lybiidae_Trachyphonus_erythrocephalus								77024589																									
Meliphagidae_Lichenostomus_versicolor													326378212								327321803												
Fringillidae_Buthraupis_eximia								194499775													194499863												
Hirundinidae_Tachycineta_thalassina					116832837			19697715						62126095							19697737												
Fringillidae_Anisognathus_lacrymosus								194499749													194499835												
Paridae_Parus_elegans								34596604																									
Dendrocolaptidae_Xiphorhynchus_kienerii								23463230													23463144	23428727											
Picidae_Dryocopus_pileatus		193879446	167987285		60281113		193879140	2062438	193880680	193880994	193881302		193999834	194000238		193881618	193881755	194020939	193881976	194241026	99030732			194021263							193878538	193878851	
Fringillidae_Tangara_callophrys								38606598													38606752												
Cracidae_Pipile_cumanensis								38195443													38195431												
Corvidae_Corvus_orru																												38324371	38324811				
Corvidae_Crypsirina_temia								39979956																									
Ramphastidae_Semnornis_frantzii								7573859													259089982												
Fringillidae_Serinus_gularis				195963918		198246344		46562387														198246480									195964006		
Cuculidae_Eudynamys_scolopacea								7739495													7739553												
Malaconotidae_Tchagra_minuta													46810692								46562029												
Pycnonotidae_Phyllastrephus_hypochloris													156753252	89213066				149393581			89213147	89212975				149393683							
Fringillidae_Cyanocompsa_brissonii					197255189			15420070													156072630												
Strigidae_Ninox_boobook																												171919923					
Caprimulgidae_Hydropsalis_climacocera																												94483122					
Threskiornithidae_Plegadis_ridgwayi								482847																									
Fringillidae_Pheucticus_ludovicianus	21644757				169882676	21645015		17222097					222875864						222875956		21644843					182894110	224383529			219665218			
Corvidae_Pityriasis_gymnocephala																												87133471	87133491				
Ploceidae_Euplectes_afer						165929893								46325881								165929647											
Bucconidae_Bucco_capensis																		32967809										38147054					
Meliphagidae_Myzomela_erythrocephala	45385357							45385609					259018600								45385691												
Dicruridae_Rhipidura_tenebrosa																					256576275	256576351									256576415		
Fringillidae_Xanthopsar_flavus																					6563137												
Fringillidae_Serinus_leucopygius				195963954		198246384		40362741														198246518									195964026		
Fringillidae_Pyrrhoplectes_epauletta				195963866		198246295		319890659										195964045				198246426									195963981		
Momotidae_Baryphthengus_martii				17226595		17226483		17226567																									
Dicruridae_Dicrurus_paradiseus	21310037			149783848				11139406					46810708					149286613			149783741												
Caprimulgidae_Caprimulgus_maculicaudus								74013627							290467053					290467191								94483126					
Campephagidae_Lalage_atrovirens																		307147433			307147544												
Megalaimidae_Megalaima_haemacephala					60281089			77024559																									
Trochilidae_Amazilia_decora														164612981							164613145		164613314										
Trochilidae_Chaetocercus_bombus														269999272							268320882		268320437			268320605							
Laridae_Sterna_hirundinacea								55419861													55417587												
Phasianidae_Ithaginis_cruentus				300488469	260400366			3834418													110826060												
Fringillidae_Tangara_ruficervix								38606686													38606840												
Caprimulgidae_Uropsalis_lyra								290467015							290467155					290467287													
Meliphagidae_Glycichaera_fallax	45385341							45385577					259018583								45385431												
Fringillidae_Emberiza_spodocephala	13928482				257154695	21644931		111034862													21644801					182894039							
Tyrannidae_Myiarchus_cephalotes						33243735																											
Meliphagidae_Philemon_argenticeps	45385361							45385617					259018604								45385471												
Tyrannidae_Empidonax_albigularis								23598171													23598225	23598281											
Platysteiridae_Batis_pirit																					112799346												
Trochilidae_Hylocharis_cyanus														164613064							164613228		164613398			268320729							
Meliphagidae_Philemon_buceroides	45385362							45385619					259018605								45385473												
Furnariidae_Geositta_peruviana								57232249													57232289	57232209											
Sturnidae_Ampeliceps_coronatus					151336242	151336486							149729100	151336098				93211296			149729238							34582514		151336730			
Columbidae_Geotrygon_frenata								321574879						321575057							321575005												
Fringillidae_Emberiza_sulphurata								182893931																		182894041							
Sylviidae_Acrocephalus_avicenniae								9971038																									
Zosteropidae_Zosterops_palpebrosus	113171353				183397874	84374011		113171369													220900695	84374117						183585575			220900563		
Paridae_Parus_amabilis								34596626																									
Alcedinidae_Dacelo_novaeguineae																					74272479												
Meliphagidae_Meliphaga_cinereifrons													109139919								109139879												
Passeridae_Amadina_erythrocephala																					37674972												
Corvidae_Cyanocorax_beecheii								283464476													283464386												
Scolopacidae_Numenius_americanus					51102216																												
Megalaimidae_Megalaima_lineata								33520967																									
Dicaeidae_Dicaeum_melanoxanthum				18845709																	256576021	256575937						18845859			256576101		
Psittacidae_Amazona_guildingii	34536880							37574955																									
Tyrannidae_Ochthoeca_thoracica																					157780587												
Timaliidae_Alcippe_brunnea					262071851			33413477													113912253												
Zosteropidae_Zosterops_oleagineus																						220900459									220900597		
Irenidae_Chloropsis_sonnerati										187471202	188526211																						
Furnariidae_Geositta_antarctica								57232239													57232279	57232199											
Fringillidae_Carpodacus_rubicilla					257154093																223953623												
Scolopacidae_Gallinago_media					257154929																												
Meliphagidae_Trichodere_cockerelli	45385381							45385657					259018624								45385505												
Thamnophilidae_Willisornis_poecilinotus													157098094									157098358							221062985				
Psittacidae_Eos_bornea								121308455																									
Tyrannidae_Myiarchus_nugator						33243780																											
Fringillidae_Mitrospingus_oleagineus								156072914													156072698												
Rostratulidae_Nycticryphes_semicollaris	88911179				88910982	88911118		88911084													88910812	88910846	88910914					34597835					
Timaliidae_Chrysomma_sinense	30840824							30840732										253971475			253971588					229905329		253971632					
Tyrannidae_Pachyramphus_major																					86451803												
Trochilidae_Phaethornis_subochraceus														269999339							268320952		268320507			268320810							
Paridae_Poecile_gambeli					116877619			19908497													38147212												
Trogonidae_Euptilotis_neoxenus	3599563							3599551													54299655	316891722						54299714			316992342		
Strigidae_Strix_varia				1857844	116878021			18651901																									
Fringillidae_Cardinalis_sinuatus					116832009			156072866													156072654												
Burhinidae_Burhinus_vermiculatus	190569730																				125662189							34597797					
Tyrannidae_Myiopagis_olallai																					185862413												
Timaliidae_Pomatorhinus_ochraceiceps	21310032							5712255										253971540			313759457							253971700					
Caprimulgidae_Caprimulgus_climacurus								74013637												290467281								94483148					
Turdidae_Zoothera_pinicola								58618569													58618485												
Tyrannidae_Zimmerius_gracilipes													167781923								185862510												
Fringillidae_Atlapetes_rufinucha						170672686		10799243													2407151												
Sulidae_Sula_leucogaster	118603177				327494156	118603210		1890886																		325461469							
Columbidae_Zenaida_graysoni								7262974						7673338							11967348												
Maluridae_Amytornis_woodwardi					310947942								310948004					310948035			310948063	310948095											
Fringillidae_Diglossa_gloriosissima								194360053													194360117												
Fringillidae_Xenoligea_montana				22085568	308224829	22085402		22085494					302703312					302703636	302703526		22085726									302703740	302703823		
Accipitridae_Buteo_rufofuscus						281307721		182895236						182895026							182895114												
Vireonidae_Vireo_griseus					117372645			529911																									
Ardeidae_Butorides_striata					134269257																												
Falconidae_Milvago_chimachima					197255863			2231521																				42525306					
Strigidae_Bubo_bubo					134269363	193074698		170787085										193074562			193074482	193082383						171919859			193074400		
Timaliidae_Actinodura_ramsayi					307829232			307829260													307829288												
Pachycephalidae_Falcunculus_frontatus								168986849													168986750							38324391					
Trochilidae_Philodice_mitchellii														57791912							57639904												
Petroicidae_Peneothello_bimaculata								38325055													260176924							38324447	38324941				
Meliphagidae_Epthianura_albifrons	45385336							45385567					259018578								45385425												
Megapodiidae_Megapodius_pritchardii																					17222861									17222905			
Cisticolidae_Heliolais_erythropterus								68248354																									
Muscicapidae_Bradornis_microrhynchus								306959370										306959798								306960049							
Anatidae_Branta_ruficollis								18447741													190683638												
Passeridae_Passer_domesticus	124108884			251738033	117372435	21645003		45685538		187471248	188526258			46325851				149286588			21644837	14581597						157672476	161019574		195963969		
Alcedinidae_Ceyx_melanurus																		109390277			109390221	62901747											
Cerylidae_Chloroceryle_americana	4099780				116876667			4099745										32967817			74272439	62901791						74272361					
Fringillidae_Molothrus_ater	21644750				117372383	21644987		156072750											283568932		21644829												
Loriidae_Charmosyna_placentis								121308497																									
Thamnophilidae_Herpsilochmus_axillaris								304272711					301323102								301323186	301323008						221063169	221062949				
Cacatuidae_Cacatua_alba								121308507																									
Meropidae_Merops_ornatus													154184390								156100631										154537641		
Picidae_Campephilus_pollens	100965332				109820201			100965218																									
Petroicidae_Peneoenanthe_pulverulenta																					260176890												
Sylviidae_Leptopoecile_elegans								189038765																									
Furnariidae_Geositta_cunicularia					197255475			158712091						308197359				159895191			57232301	45511421											
Fringillidae_Serinus_dorsostriatus				195963896		198246324		46561815										195964059				198246460									195963997		
Eurylaimidae_Corydon_sumatranus																		113196699										85822725					
Procellariidae_Procellaria_aequinoctialis								3929425																									
Musophagidae_Tauraco_schalowi								12024675																									
Trochilidae_Ramphodon_naevius								37195403																									
Turdidae_Luscinia_svecica					116877215			32825659		187471219	188526229				224757893			306959727			317017251					306959920						89000285	
Cuculidae_Chrysococcyx_flavigularis						21667198																											
Ardeidae_Egretta_rufescens					116832177			2149192																									
Trochilidae_Anthracothorax_mango														57791808							57639800		164613478										
Procellariidae_Pterodroma_solandri								4106555																									
Coraciidae_Coracias_caudata		193879428	193880052	18845703				4099747	193880662	193880973	193881280		193999815	194000216	154529091	323903209	193881744	194020921	193881956	194241008				194021241	194205162	113120315	193880340	4973158	38324795	194240694	193878516	193878833	
Monarchidae_Myiagra_alecto								225795363										225795291			71725742							225795441					
Tyrannidae_Camptostoma_imberbe					116876501																												
Fringillidae_Carduelis_yarrellii								33337435																									
Motacillidae_Anthus_spragueii					116876291																												
Apodidae_Collocalia_linchi								27461839						46250882							37812928												
Procellariidae_Puffinus_temptator								37788761																									
Sylviidae_Phylloscopus_magnirostris	54632191							2407979										62735845															
Phasianidae_Bonasa_sewerzowi	6970155							6970174													7648856												
Sylviidae_Sylvia_layardi								34481579																									
Muscicapidae_Muscicapa_adusta								37594849													38147202					306960059							
Muscicapidae_Rhyacornis_fuliginosa								37594865										295001772			38147218												
Sylviidae_Tesia_olivea								68248378										66876391															
Accipitridae_Leptodon_cayanensis								67037954						66735971				113095080		112950279	66734850					156617593		126212469					
Fringillidae_Cacicus_sclateri								22204049													21999570												
Anatidae_Anas_falcata	37725792			66970016	257153679			3088761													3088881												
Fringillidae_Gnorimopsar_chopi					197255513			6048445													6563143												
Fringillidae_Arremonops_chloronotus								219882340													219882422												
Alcidae_Fratercula_corniculata	551058				169882554			1255755													148466839							148466729					
Alcedinidae_Ceyx_rufidorsa																		109390291			109390237	62901741				301069677						301069720	
Fringillidae_Spizella_wortheni					314950553	314950560		314950537													314950572												
Accipitridae_Buteo_buteo	124108864				134269277	281307643		1050575																				169246957					
Accipitridae_Pithecophaga_jefferyi					302151497			67037966						66735979							66734862												
Laridae_Sterna_forsteri					116877985			55419855						56131119							55417581												
Certhiidae_Certhia_familiaris				18845693	51102070	74355934		33867704			315488415	33638021	196052445								85658697	3929187				196052605		18845845	38324773				
Phasianidae_Chrysolophus_pictus		272492335		300488455	260400332	198401622		22725660	272474410					83616407		272490568					83616452									156139619			
Columbidae_Ducula_rufigaster	148466954				148467069	148467247		148466922						148467367							148466993							148467413					
Cotingidae_Corapipo_gutturalis																												241994099	241994459				
Motacillidae_Motacilla_flaviventris								24899270													24899340												
Paridae_Parus_niger								19908553																									
Orthonychidae_Orthonyx_spaldingii				18845755		24935257		25989690										27085275			27373834							18845903	38324915				
Cracidae_Penelope_ochrogaster								38195435													38195423												
Fringillidae_Aimophila_ruficauda								219882360													219882442												
Motacillidae_Motacilla_tschutschensis					257155451																												
Nectariniidae_Aethopyga_flagrans								34501088					196052423					34538593								196052587		34500982					
Bucerotidae_Anthracoceros_malayanus								33341061																									
Meliphagidae_Lichenostomus_flavus	45385343							45385581					259018585								45385435												
Cisticolidae_Speirops_brunneus																					220900725	220900453									220900591		
Sturnidae_Onychognathus_tenuirostris					151336216	151336447							149729087	151336085				93211330			149729212							93211272		151336704	151335911		
Mimidae_Mimus_polyglottos	7672632				151336338	7453494				29422755	29422720		149729147	151336147				7672594			7672618									151336822	151336030		
Rallidae_Porphyrio_mantelli	2801374							1718368																									
Dicaeidae_Dicaeum_sanguinolentum																					256576043	256575959									256576112		
Psittacidae_Micropsitta_pusio				260100341							260100449										99030232												
Turdidae_Turdus_viscivorus	166707820				292390624			187371445										167369988			126216266	126216142											
Pachycephalidae_Pachycephala_inornata																		289187835			289187870		289187938			289187805							
Thamnophilidae_Rhegmatorhina_hoffmannsi								157098284					157098150								157094423	157098418											
Charadriidae_Charadrius_veredus								2052342																									
Tyrannidae_Pseudocolopteryx_sclateri					197256571																												
Podicipedidae_Podilymbus_podiceps					116877599			168805840						56131077							187480144	3978358											
Meliphagidae_Melipotes_fumigatus	45385354				6469784			6469782					259018596								45385457												
Accipitridae_Pandion_haliaetus	84468576	193879534	167987307		117372417		193879222	168805826	193880762	193881081	193881394	193999568	193999916	194000328	154529201	193881648	193881800	194021026	193882064	194241118	66734834	3978346		194021353	194205270	156617597	193880448	126212397		194240802	193878629	193878928	
Passeridae_Montifringilla_nivalis					257155391			82504034										82504050															
Laridae_Larus_delawarensis					116877155			199601282													55417555												
Muscicapidae_Ficedula_disposita								112888678													110348274	110348324											
Estrildidae_Vidua_paradisaea	19481491					38156043		1234784													19481408										38156223		
Sturnidae_Onychognathus_fulgidus																					149729390												
Pycnonotidae_Spizixos_semitorques					226910537									89213085				293652658			89213205	89213033									264669150		
Picidae_Colaptes_auratus					9247025			17834111						28916014				76008406			99030710	3978301											
Tyrannidae_Zimmerius_bolivianus													167781925								185862485												
Bucerotidae_Ceratogymna_atrata								33340982																									
Fringillidae_Saltator_atriceps					169666743			156072886													156072672												
Trochilidae_Ensifera_ensifera														259578805							57639830		164613514			259028143							
Prionopidae_Tephrodornis_pondicerianus				125487266																	125487160												
Nectariniidae_Arachnothera_robusta					239507747			239508383																									
Strigidae_Strix_butleri								170787135																				171919965					
Fringillidae_Dendroica_petechia				22085518	167410102	22085324		206573695					302703219					302703589	302703432		22085674									206573835			
Timaliidae_Malacopteron_magnirostre																					220900639	220900367									220900503		
Turdidae_Zoothera_erythronota	166707826							187371457										167370000			58618497					187481361							
Motacillidae_Motacilla_alba	168805900			28190574	116877293			168805820		187471250	315488403		196052507								56267682	27475882				315488293		34501024					
Tyrannidae_Alectrurus_tricolor																												241994049	241994409				
Batrachostomatidae_Batrachostomus_septimus		193879380	193880012				193879074	125434165	193880614	193880924	193881230		193999768	194000167	154529049			194020874	193881908	194240960				194021193	194205112		193880290	94483108		194240650	193878466		
Trochilidae_Phaethornis_guy														57791902							57639894		164613578			268320792							
Accipitridae_Buteo_regalis					116876441	281307712		182895240					281308197	182895022					73666532		182895118												
Timaliidae_Yuhina_gularis	21310015							72388760										253971573			113912291	113171333				229905433		253971736					
Corvidae_Corvus_cryptoleucus					46451468			46451518						56236473									46451488										
Scolopacidae_Tringa_flavipes	62720728			62720799	169882854	62720941		62720867													62720765												
Tyrannidae_Hemitriccus_minimus																					157780531												
Trochilidae_Popelairia_conversii																					57639910												
Tyrannidae_Zimmerius_viridiflavus													167781921								185862489							241994399	241994759				
Paradisaeidae_Semioptera_wallacii																										260585301							
Caprimulgidae_Lurocalis_nattereri								290466979							290467115					290467251													
Phasianidae_Ptilopachus_petrosus								121663755													110826122												
Ciconiidae_Ciconia_abdimii								3211670																				305654516					
Fringillidae_Sporophila_hypoxantha					295413722			38946272																									
Tyrannidae_Satrapa_icterophrys					197256731													165909199								165874082		241994339	241994699				
Cotingidae_Manacus_aurantiacus					118738537									188571919												188571757		241994187	241994547	188571811	188571972		
Sylviidae_Sylvia_conspicillata								38602366																									
Accipitridae_Circaetus_pectoralis								67037978						66735983							66734874							126212427					
Scolopacidae_Arenaria_interpres		193879374	167987259		51102214	198401539	193879068	16265821		193880918	193881224		193999766	194000161	154529043	193881590	193881717	194020869	193881902	194240954				194021187	194205106			34597839		194240644	193878460	193878791	
Furnariidae_Hylocryptus_erythrocephalus								66276787					126253906					66276861															
Fringillidae_Calamospiza_melanocorys	21644725				116876449	33318466		219882394													21644779												
Trochilidae_Colibri_thalassinus														164613030							164613195		164613364			268320645							
Fringillidae_Volatinia_jacarina					197257371			156072792													9971995												
Scolopacidae_Gallinago_stenura					134269253																												
Hirundinidae_Ptyonoprogne_rupestris					225301502			61189662													60858280												
Nyctibiidae_Nyctibius_leucopterus								1204134												256860197													
Climacteridae_Climacteris_erythrops		193879412	193880044				193879108			193880957	193881264	193999458	193999801	194000200	154529317		193881736	194020905	193881940	194240992					194205146		193880324	38324353	38324785	194240682	193878500		
Psittacidae_Pyrrhura_melanura								60391163																					154371734				
Strigidae_Otus_leucotis						193074728		22797032										193074594			193074512	193082411									193074428		
Timaliidae_Myzornis_pyrrhoura																												253971680					
Fringillidae_Iridosornis_jelskii								194499785													194499897												
Monarchidae_Hypothymis_helenae								11139396																									
Estrildidae_Emblema_pictum								186703234		187471253	188526264																		161019578				
Laniidae_Lanius_mackinnoni								289546115																		289546279							
Spheniscidae_Eudyptula_minor	21434754	193879450	167987289		169882440		193879144	75354610	193880684	193880998	193881306	193999494	193999838	194000242	154529117	193881622	193881757	194020943	193881980	194241030				194021267	194205186		193880362	75863931		194240716	193878542		
Pittidae_Pitta_kochi																		113196731															
Psittacidae_Hapalopsittaca_amazonina								56277927													169787698											187949970	
Cathartidae_Coragyps_atratus					116876753			482869						156617650				113095058		31322833						156617567		112818859					
Accipitridae_Circaetus_gallicus	2213705				2213706			67037980						66735985							66734876												
Psittacidae_Brotogeris_chrysoptera								257786333													257786435								154371736				
Cotingidae_Rupicola_peruviana								90194231										90194288								90658357		90194262					
Paridae_Parus_holsti								34596614																									
Trochilidae_Lophornis_pavoninus																					164613242		164613412										
Trochilidae_Amazilia_saucerrottei														269999257							164613153		164613322			268320571							
Sylviidae_Acrocephalus_gracilirostris								9967738																		254968116							
Laridae_Larus_modestus								199601298																									
Muscicapidae_Empidornis_semipartitus																		295001700			295001836					295315396							
Fringillidae_Geospiza_fortis	21644741					21644951		21616577													21644811												
Fringillidae_Poospiza_alticola								12699049																									
Fringillidae_Teretistris_fernandinae				22085522	308224841	22085333		22085448					302703316					302703638	302703530		22085680									302703742	302703825		
Vangidae_Cyanolanius_madagascarinus	13928456												46810706					71733193			46562043												
Musophagidae_Tauraco_macrorhynchus								12024705																									
Scolopacidae_Tringa_ochropus				41352618	292390596	62720969		62720881													62720779												
Cotingidae_Pipreola_frontalis																					86451893												
Fringillidae_Psarocolius_angustifrons								18656852													18766828												
Laridae_Thalasseus_sandvicensis					169882834			199601340						226374468				211909562			55417599												
Procellariidae_Thalassoica_antarctica								3420712																									
Tyrannidae_Tolmomyias_sulphurescens					169666747																							241994371	241994731				
Phasianidae_Polyplectron_inopinatum								18028459						156139649							156139666									156139634			
Fringillidae_Dendroica_pinus				22085574	116876835	22085417		22085504					302703223					302703591	302703436		22085736									206573836			
Hirundinidae_Psalidoprocne_albiceps								61189722																									
Muscicapidae_Ficedula_mugimaki					257154849			87332043													110348288	110348318											
Fringillidae_Carduelis_ambigua				195963952		198246382		87083913										195964085				198246516									195964024		
Pycnonotidae_Hypsipetes_madagascariencis														89213057							89213167	89212995											
Turdidae_Turdus_xanthorhynchus								308208161													308208194	308208176											
Phasianidae_Tragopan_blythii								9622891						83616420							83616470									156139640			
Picidae_Veniliornis_callonotus					15216899			2062462						7716563																			
Sturnidae_Lamprotornis_iris					151336184	151336399							149729073	151336071							149729180									151336682	151335883		
Campephagidae_Hemipus_hirundinaceus																													87133497				
Fringillidae_Phrygilus_patagonicus					197256351																												
Picidae_Picumnus_temminckii					197256435									76008371				76008394			76008426												
Trochilidae_Amazilia_versicolor					197254345									164612993							164613157		164613326			268320575							
Campephagidae_Coracina_ceramensis																					307147482												
Trochilidae_Chlorostilbon_poortmani														269999276							268320886		268320441			268320625							
Sylviidae_Phylloscopus_maculipennis	54632190							54632807										62735843															
Monarchidae_Monarcha_takatsukasae																					71725764												
Tyrannidae_Onychorhynchus_occidentalis																		165909037								165873918							
Podicipedidae_Podiceps_major					197256501																												
Psittacidae_Cyanopsitta_spixii	31074338					75677817		31074352													169787668							75678015				187949943	
Laridae_Larus_argentatus					116877147			212287892																									
Passeridae_Montifringilla_taczanowskii								82504038										82504054															
Fringillidae_Dendroica_cerulea					116832143	308224448		206573673										302703572	302703398		308224448									206573823			
Trochilidae_Eriocnemis_alinae														164613040							164613205		164613374			268320661							
Passeridae_Prunella_montanella	21644762					21645035		111034912													21644853												
Trochilidae_Amazilia_chionogaster					197255769									57791804							57639796		164613474			268320561							
Procellariidae_Oceanodroma_tristrami								3420656																									
Vireonidae_Hylophilus_ochraceiceps								14581491										161015789			14581537	14581581				161015805							
Meliphagidae_Meliphaga_notata													109139939								109139899												
Anatidae_Callonetta_leucophrys					197254799			3088743													3088863												
Tyrannidae_Pachyramphus_spodiurus																					86451825												
Fringillidae_Icterus_bullockii					116877041			156072748						33323117					297382498		6090632					33321441							
Timaliidae_Arcanator_orostruthus													196052433					196052415								196052593		38324339	38324757				
Furnariidae_Synallaxis_ruficapilla								21805450					126253938					21805573										21805513					
Furnariidae_Glyphorynchus_spirurus								23463206					240018426					41327410			23463086	21950359						221063117	221062749				
Certhiidae_Thryothorus_thoracicus								89993726																									
Cotingidae_Manacus_candei					118738525			169387877						188571927												188571765				188571819	188571976		
Motacillidae_Anthus_trivialis					292388842			1197612			315488405							34538501			315488157	315487859				315488295		34500986					
Psittacidae_Pionopsitta_pulchra						50404160		50981620																									
Fringillidae_Phrygilus_fruticeti					197256339																												
Meliphagidae_Pycnopygius_stictocephalus	45385376							45385647					259018619								45385495												
Turdidae_Turdus_ruficollis	166707811				257156777			187371418										167369957			126216255	126216128				187481326							
Fringillidae_Passerina_caerulea					116832499			15420046										164504630			156072612					164504643				164504654	164504662	164504542	
Scolopacidae_Limosa_fedoa	15428368				51101710			21616120						56131112																			
Passeridae_Cryptospiza_shelleyi																					37674964												
Zosteropidae_Zosterops_nigrorum						84374017		34501168			315488425										315488171	84374129				315488311		18845128			220900565		
Monarchidae_Monarcha_rubiensis																					71725770												
Campephagidae_Coracina_coerulescens																		125487313								166209105							
Picidae_Picoides_nuttallii					116832557			15216786						15049237																			
Psittacidae_Cyclopsitta_diophthalma				260100343																	169787672									187765549	194246166	187949946	
Dicaeidae_Dicaeum_tristrami																					256576081	256575997									256576131		
Corvidae_Corvus_albicolis								46451514																									
Passeridae_Montifringilla_ruficollis								82504040			315488397							82504056		34500839	315488153	315487855				315488287		34501022					
Fringillidae_Tangara_cayana								38606600													31281391												
Cracidae_Ortalis_poliocephala								55977916																									
Certhiidae_Microbates_cinereiventris								284832848																									
Timaliidae_Kenopia_striata	30840841							30840766													113912315	220900361				229905355		253971658			220900497		
Pipridae_Lepidothrix_nattereri								156857578																									
Fringillidae_Passerina_versicolor					116877429			15420062													156072624												
Tyrannidae_Legatus_leucophaius					159156685													165909141								165874024		241994165	241994525				
Maluridae_Malurus_melanocephalus		193879494	193880108	18845733	290464536	31282814	193879188				193881354	193999532	193999882	194000289	154529163		193881780	194020988	193882026	194241078	294471101	31282886		194021313	194205232		193880408	18845881	38324867	194240764	193878590	193878895	
Passeridae_Lagonosticta_senegala								45685550													37674870												
Sulidae_Sula_dactylatra	61139599				116832833	61398688		167676413						56131144							186688119					325461475							
Bombycillidae_Bombycilla_cedrorum					151336354	151336657		21304609					149729155	151336155							218684112							218684164	218684148	151336838	151336046		
Phasianidae_Lophura_nycthemera		272492336		300488461	260400308	198401617		340657	272474416					83616412		272490570					83616462									156139627			
Furnariidae_Limnoctites_rectirostris													240018496																				
Paradisaeidae_Epimachus_albertisi								840942						39979954				23499410			23499420					166209141		18845126					
Accipitridae_Spilornis_cheela	84468570							67037974													66734870	108795464	110554926					126212501					
Pachycephalidae_Pachycephala_citreogaster																					187372543												
Thamnophilidae_Thamnophilus_aroyae								123998746					122935408	122935305							122935466	122935342											
Meliphagidae_Lichenostomus_obscurus													326378200								327321791												
Muscicapidae_Muscicapa_gambagae								306959254										306959739								306959938							
Thamnophilidae_Mackenziaena_severa								51104408										51104502															
Sylviidae_Cettia_acanthizoides								86450050																									
Columbidae_Treron_calva								41393900													148467039							148467459					
Tyrannidae_Serpophaga_nigricans													157780441								157780509												
Tyrannidae_Pseudelaenia_leucospodia																												241994317	241994677				
Corvidae_Aphelocoma_potosina																					37499666												
Fringillidae_Geospiza_difficilis								5230591																									
Trogonidae_Trogon_massena	156767093							86451936													183447580							54299670					
Pipridae_Neopelma_pallescens																		165909023								165873902							
Accipitridae_Accipiter_soloensis					134269291																												
